

#############    Traffic = uniform_random      Network = 4x4                    ################

Inject_rate                   Energy                        Latency                       Deflect_rate                  Throughput                    

BLESS     MBNoC     NoBypass  BLESS     MBNoC     NoBypass  BLESS     MBNoC     NoBypass  BLESS     MBNoC     NoBypass  BLESS     MBNoC     NoBypass  
0.39      0.42      0.39      1029.91   516.37    0.0       15.80     11.10     13.03     9.9       3.745     9.69      5.98      7.77      0.0       
0.39      0.42      0.39      1063.41   528.16    0.0       16.09     11.19     13.20     10.56     3.92      10.21     6.08      7.88      0.0       
0.40      0.43      0.40      1090.20   541.40    0.0       16.25     11.27     13.40     10.98     4.105     10.69     6.16      8.01      0.0       
0.40      0.44      0.41      1115.65   555.57    0.0       16.39     11.39     13.57     11.43     4.395     11.23     6.24      8.16      0.0       
0.41      0.44      0.41      1128.36   565.47    0.0       16.42     11.44     13.62     11.54     4.54      11.40     6.26      8.23      0.0       
0.41      0.45      0.41      1158.89   581.37    0.0       16.66     11.57     13.84     12.17     4.865     12.09     6.35      8.40      0.0       
0.41      0.45      0.42      1180.58   588.33    0.0       16.79     11.57     13.97     12.49     4.83      12.38     6.41      8.43      0.0       
0.42      0.45      0.42      1206.10   597.25    0.0       16.98     11.61     14.09     12.94     4.985     12.80     6.47      8.46      0.0       
0.42      0.46      0.43      1230.07   615.43    0.0       17.15     11.78     14.35     13.33     5.415     13.49     6.53      8.67      0.0       
0.43      0.47      0.43      1256.87   628.45    0.0       17.29     11.89     14.42     13.73     5.63      13.77     6.59      8.77      0.0       
0.43      0.48      0.43      1295.00   640.34    0.0       17.63     11.96     14.57     14.53     5.8       14.13     6.69      8.87      0.0       
0.44      0.48      0.44      1327.36   657.54    0.0       17.82     12.12     14.74     15.19     6.215     14.63     6.78      9.01      0.0       
0.44      0.48      0.44      1348.51   664.65    0.0       18.00     12.13     14.82     15.4      6.24      14.85     6.8       9.02      0.0       
0.44      0.49      0.45      1370.81   682.16    0.0       18.13     12.28     15.14     15.82     6.65      15.67     6.85      9.18      0.0       
0.45      0.50      0.45      1403.21   696.82    0.0       18.37     12.42     15.25     16.42     7.035     15.93     6.92      9.29      0.0       
0.45      0.50      0.45      1425.18   707.15    0.0       18.51     12.47     15.41     16.75     7.17      16.36     6.96      9.35      0.0       
0.45      0.51      0.46      1460.78   721.78    0.0       18.85     12.59     15.66     17.36     7.47      17.02     7.02      9.46      0.0       
0.46      0.51      0.46      1492.84   732.02    0.0       19.05     12.64     15.75     17.94     7.6       17.18     7.08      9.51      0.0       
0.46      0.52      0.47      1529.54   751.01    0.0       19.41     12.82     16.03     18.65     8.07      17.92     7.14      9.67      0.0       
0.46      0.52      0.47      1546.01   759.32    0.0       19.45     12.86     16.09     18.79     8.155     18.03     7.15      9.67      0.0       
0.46      0.52      0.47      1571.65   774.73    0.0       19.64     12.96     16.41     19.07     8.455     18.73     7.18      9.79      0.0       
0.47      0.53      0.47      1616.97   784.55    0.0       20.10     13.03     16.54     20.09     8.615     19.11     7.28      9.81      0.0       
0.47      0.54      0.48      1635.57   810.74    0.0       20.15     13.34     16.81     20.15     9.405     19.64     7.29      10.02     0.0       
0.47      0.54      0.48      1669.83   817.62    0.0       20.41     13.35     16.95     20.8      9.405     19.91     7.35      10.03     0.0       
0.47      0.54      0.48      1692.69   831.60    0.0       20.59     13.43     17.25     21.12     9.63      20.57     7.37      10.10     0.0       
0.48      0.55      0.49      1729.58   846.25    0.0       20.92     13.55     17.41     21.71     9.915     20.92     7.42      10.17     0.0       
0.48      0.55      0.49      1753.63   856.19    0.0       21.13     13.59     17.63     22.05     10.04     21.30     7.45      10.23     0.0       
0.48      0.56      0.49      1779.41   877.42    0.0       21.26     13.81     17.81     22.36     10.64     21.70     7.47      10.35     0.0       
0.48      0.56      0.49      1812.90   892.84    0.0       21.63     13.96     18.03     22.8      10.91     21.99     7.5       10.43     0.0       
0.49      0.56      0.50      1858.52   903.47    0.0       21.99     14.01     18.18     23.55     11.13     22.35     7.56      10.46     0.0       
0.49      0.57      0.50      1889.97   921.11    0.0       22.33     14.17     18.54     23.91     11.495    22.88     7.58      10.54     0.0       
0.49      0.57      0.50      1918.67   930.37    0.0       22.66     14.23     18.67     24.24     11.665    23.15     7.59      10.57     0.0       
0.49      0.57      0.50      1949.80   952.46    0.0       22.85     14.46     18.82     24.71     12.185    23.34     7.63      10.70     0.0       
0.49      0.57      0.50      1976.89   967.69    0.0       23.08     14.63     19.08     24.97     12.575    23.76     7.64      10.73     0.0       
0.49      0.58      0.50      2001.50   981.49    0.0       23.20     14.69     19.31     25.25     12.735    24.03     7.67      10.80     0.0       
0.50      0.58      0.51      2036.36   997.41    0.0       23.55     14.85     19.46     25.69     13.13     24.36     7.69      10.89     0.0       
0.50      0.58      0.51      2066.30   1010.93   0.0       23.83     14.97     19.81     26.01     13.365    24.79     7.73      10.90     0.0       
0.50      0.59      0.51      2114.04   1029.72   0.0       24.36     15.15     19.99     26.53     13.78     24.93     7.74      10.98     0.0       
0.50      0.59      0.51      2116.03   1042.90   0.0       24.13     15.27     20.04     26.46     13.98     25.21     7.76      11.02     0.0       
0.50      0.60      0.51      2157.36   1064.39   0.0       24.63     15.48     20.43     26.95     14.485    25.57     7.78      11.11     0.0       
0.50      0.60      0.51      2197.08   1074.35   0.0       25.11     15.54     20.63     27.35     14.595    25.87     7.8       11.12     0.0       
0.50      0.60      0.52      2223.28   1092.09   0.0       25.33     15.68     20.99     27.42     14.84     26.21     7.79      11.18     0.0       
0.50      0.60      0.52      2266.02   1103.99   0.0       25.69     15.79     21.08     27.93     15.105    26.36     7.83      11.21     0.0       
0.50      0.60      0.52      2290.82   1120.70   0.0       26.00     15.92     21.27     28.12     15.415    26.50     7.83      11.27     0.0       
0.51      0.61      0.52      2329.01   1139.49   0.0       26.29     16.16     21.42     28.37     15.79     26.64     7.84      11.30     0.0       
0.51      0.61      0.52      2341.33   1158.51   0.0       26.33     16.41     21.67     28.39     16.18     26.93     7.85      11.37     0.0       
0.50      0.61      0.52      2377.04   1175.01   0.0       26.76     16.52     22.14     28.72     16.47     27.45     7.87      11.42     0.0       
0.51      0.61      0.53      2398.13   1184.95   0.0       26.85     16.54     22.37     28.9      16.45     27.57     7.88      11.42     0.0       
0.51      0.62      0.52      2439.03   1204.70   0.0       27.30     16.79     22.32     29.11     16.91     27.55     7.87      11.47     0.0       
0.51      0.62      0.53      2480.30   1216.61   0.0       27.75     16.86     22.67     29.38     17.065    27.84     7.9       11.51     0.0       
0.51      0.62      0.53      2507.01   1236.79   0.0       27.96     17.08     23.00     29.64     17.405    28.09     7.91      11.54     0.0       
0.51      0.62      0.53      2553.25   1254.90   0.0       28.59     17.28     23.09     29.86     17.695    28.20     7.91      11.59     0.0       
0.51      0.62      0.53      2571.04   1272.42   0.0       28.61     17.45     23.45     30.01     18.005    28.35     7.93      11.63     0.0       
0.51      0.62      0.53      2606.26   1281.29   0.0       29.03     17.51     23.74     30.18     18.095    28.66     7.92      11.63     0.0       
0.51      0.63      0.53      2639.55   1304.53   0.0       29.24     17.73     23.96     30.25     18.42     28.70     7.93      11.69     0.0       
0.51      0.63      0.53      2672.79   1319.21   0.0       29.55     17.89     24.11     30.52     18.66     28.77     7.96      11.71     0.0       
0.51      0.63      0.54      2705.24   1331.23   0.0       29.86     17.93     24.32     30.62     18.69     28.82     7.96      11.71     0.0       
0.51      0.63      0.54      2729.80   1350.50   0.0       30.11     18.16     24.59     30.72     19.08     29.04     7.97      11.77     0.0       
0.51      0.63      0.54      2765.80   1369.72   0.0       30.45     18.37     24.85     30.86     19.365    29.14     7.97      11.81     0.0       
0.51      0.63      0.54      2795.71   1384.72   0.0       30.75     18.58     24.95     30.91     19.515    29.38     7.97      11.81     0.0       
0.51      0.64      0.54      2825.26   1407.58   0.0       31.08     18.81     25.12     31.03     19.815    29.36     7.97      11.86     0.0       
0.51      0.64      0.54      2868.68   1420.23   0.0       31.46     18.91     25.43     31.21     19.95     29.58     7.98      11.87     0.0       
0.51      0.64      0.54      2900.98   1432.12   0.0       31.84     18.95     25.54     31.39     20.025    29.59     8.0       11.88     0.0       
0.51      0.64      0.54      2934.92   1454.39   0.0       32.18     19.19     25.86     31.4      20.265    29.73     7.98      11.92     0.0       
0.51      0.64      0.54      2956.51   1475.85   0.0       32.22     19.51     25.94     31.57     20.605    29.82     8.0       11.93     0.0       
0.51      0.64      0.54      2986.26   1490.48   0.0       32.52     19.59     26.23     31.6      20.725    29.77     8.0       11.97     0.0       
0.52      0.64      0.55      3022.04   1505.61   0.0       32.83     19.75     26.52     31.77     20.735    29.89     8.01      11.95     0.0       
0.51      0.65      0.55      3058.64   1525.59   0.0       33.27     19.95     26.80     31.79     21.035    30.16     8.01      12.01     0.0       
0.51      0.65      0.54      3091.30   1542.99   0.0       33.66     20.11     26.87     31.84     21.265    30.09     8.01      12.03     0.0       
0.51      0.65      0.55      3111.76   1561.41   0.0       33.65     20.33     27.00     31.75     21.37     30.20     8.0       12.03     0.0       
0.51      0.65      0.55      3146.69   1573.31   0.0       34.13     20.41     27.40     31.98     21.39     30.22     8.01      12.04     0.0       
0.52      0.65      0.55      3173.53   1593.62   0.0       34.19     20.60     27.44     31.99     21.525    30.22     8.02      12.04     0.0       
0.52      0.65      0.55      3211.13   1610.54   0.0       34.64     20.77     27.68     32.08     21.72     30.41     8.03      12.07     0.0       
0.52      0.65      0.55      3239.30   1619.90   0.0       34.80     20.78     27.84     32.21     21.69     30.36     8.04      12.08     0.0       
0.52      0.65      0.55      3300.04   1646.12   0.0       35.51     21.17     28.24     32.21     22.025    30.51     8.03      12.09     0.0       
0.52      0.65      0.55      3314.34   1670.08   0.0       35.48     21.50     28.27     32.3      22.35     30.53     8.03      12.12     0.0       
0.52      0.65      0.56      3325.54   1683.12   0.0       35.46     21.49     28.31     32.19     22.225    30.38     8.02      12.12     0.0       
